,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speeds
34,Minalabac,PH,24,1522693925,94,13.57,123.19,296.458,1.77
35,Weeze,DE,92,1522693200,71,51.63,6.2,285.15,4.1
36,Colonesti,RO,0,1522693926,46,44.65,24.67,281.958,5.57
37,Mayrtup,RU,8,1522693935,88,43.2,46.13,280.408,1.22
38,El Giral,PA,20,1522692000,43,9.25,-79.69,306.15,4.6
39,Belaya Kholunitsa,RU,92,1522693937,92,58.84,50.85,273.308,6.02
40,Casambalangan,PH,76,1522693937,100,18.38,122.13,298.458,5.37
41,Jirikov,CZ,0,1522693200,49,51.0,14.57,281.15,2.6
42,little baguio,PH,0,1522693931,83,6.5,124.5,293.108,0.77
43,New Bohol,PH,8,1522693932,88,7.05,125.06,295.258,0.92
44,Sobreda,PT,75,1522692000,87,38.65,-9.19,289.15,6.7
45,Rosarito,CO,90,1522692000,88,4.91,-75.23,297.15,2.6
46,Evreux,FR,92,1522692000,87,49.02,1.15,284.15,4.6
47,Shamkhal-Termen,RU,90,1522692000,87,43.03,47.31,281.15,7.0
48,Concepcion de Buenos Aires,MX,5,1522691100,19,19.97,-103.27,299.15,2.6
49,Vorselaar,BE,92,1522693200,66,51.2,4.77,285.15,4.6
50,Elk Plain,US,40,1522691880,70,47.04,-122.37,282.15,4.6
51,Kokubu,JP,0,1522693936,93,31.73,130.77,281.458,0.72
52,Zitlaltepec,MX,75,1522691100,27,19.2,-97.91,296.15,5.1
53,Onojo,JP,0,1522690200,82,33.54,130.48,289.15,2.6
54,Payao,PH,0,1522693938,100,7.59,122.8,293.608,1.17
55,Ormenis,RO,36,1522693938,70,46.02,25.55,274.708,3.02
56,Schouweiler,LU,75,1522692660,50,49.58,5.96,285.15,4.6
57,Borba,PT,20,1522692000,77,38.81,-7.46,290.15,6.2
58,Pervomaysk,RU,68,1522693939,92,54.87,43.81,274.358,6.62
59,Kodarma,IN,0,1522693948,63,24.47,85.59,293.358,2.07
60,Huautla,MX,0,1522693948,51,21.03,-98.29,302.608,1.87
61,Liciada,PH,75,1522688400,78,14.9,120.93,300.15,2.6
62,Kirchheim,FR,0,1522693200,58,48.61,7.5,285.15,2.1
63,Nicolas Ruiz,MX,20,1522691640,31,16.4,-92.53,305.15,5.1
64,Salekhard,RU,36,1522693942,64,66.54,66.62,255.558,5.37
65,Sallaumines,FR,90,1522692000,81,50.42,2.86,285.15,5.7
66,Narang,PK,40,1522692000,57,32.43,73.82,297.15,2.6
67,Karasburg,NA,80,1522693943,95,-28.01,18.75,290.458,1.17
68,Santa Flavia,CL,90,1522692000,87,-51.55,-72.35,286.15,3.1
69,Vinzili,RU,0,1522692000,67,56.96,65.77,268.15,5.0
70,Arnia,IN,40,1522692000,57,32.52,74.8,297.15,2.6
71,Crystal Lake,US,75,1522692900,44,42.24,-88.32,279.15,4.6
72,Volzhskiy,RU,0,1522692000,70,48.78,44.78,281.15,11.0
73,Kitim,JO,36,1522692000,48,32.44,35.9,292.15,1.57
74,Pueblo Nuevo,MX,0,1522693955,44,23.99,-106.96,301.758,1.42
75,Pali,IN,64,1522693949,20,25.77,73.33,300.558,4.32
76,Ennepetal,DE,90,1522693200,46,51.3,7.37,285.15,6.2
77,Warner Robins,US,1,1522691700,31,32.62,-83.6,300.15,4.1
78,Dragomiresti-Vale,RO,0,1522692000,34,44.48,25.93,284.15,1.5
79,Andi,CN,76,1522693951,97,28.97,119.64,288.858,0.82
80,Shalu,TW,40,1522692000,77,24.23,120.57,294.15,1.0
81,Andujar,ES,0,1522693796,63,38.04,-4.05,288.808,2.87
82,Baykit,RU,36,1522693961,67,61.68,96.39,260.458,3.37
83,Moyamba,SL,0,1522693962,49,8.16,-12.43,306.658,2.07
84,Capreni,RO,0,1522692000,42,44.75,23.62,282.15,1.5
85,Kuybysheve,UA,48,1522693954,89,47.36,36.65,281.858,3.57
86,Latnaya,RU,90,1522692000,100,51.66,38.9,275.15,6.0
87,Eeklo,BE,75,1522693200,81,51.18,3.57,285.15,6.2
88,Quiniput,PH,0,1522693956,100,7.18,122.22,298.758,2.97
89,Gualmatan,CO,90,1522692000,87,0.92,-77.57,287.15,2.6
90,Altinopolis,BR,40,1522692000,55,-21.03,-47.37,303.15,4.1
91,Hanyang,CN,0,1522693965,77,32.14,105.51,286.058,1.02
92,Carmen de Viboral,CO,75,1522692000,68,6.08,-75.34,297.15,2.1
93,Goryachevodskiy,RU,90,1522692000,100,44.02,43.09,278.15,3.0
94,Arkalgud,IN,20,1522693958,97,12.76,76.06,292.308,1.52
95,San Basilio,PH,75,1522688400,78,15.02,120.57,299.15,2.1
96,Pushkinskiye Gory,RU,92,1522693959,98,57.02,28.91,274.608,7.07
97,Megali Khora,GR,20,1522691400,76,38.63,21.37,287.15,1.77
98,Kilifi,KE,20,1522692000,83,-3.63,39.85,301.15,2.1
99,Vise,BE,75,1522693200,58,50.74,5.7,286.15,4.6
100,KALAS,PK,75,1522692000,61,33.49,72.96,298.15,5.1
101,Palma,BR,80,1522693970,67,-5.02,-39.1,302.408,3.42
102,Novosil,RU,92,1522693962,95,52.97,37.04,274.258,4.62
103,San Pablo,PH,75,1522688400,78,14.07,121.33,300.15,2.6
104,Lille,FR,90,1522692000,81,50.63,3.07,285.15,5.7
105,Klosterneuburg,AT,0,1522692000,66,48.3,16.32,284.15,3.1
106,Lena,US,40,1522691640,64,32.59,-89.61,297.15,2.1
107,Scortaru Nou,RO,36,1522693966,60,45.32,27.6,281.358,5.27
108,Citrus Heights,US,1,1522691880,59,38.71,-121.28,293.15,2.1
109,Catende,BR,80,1522693967,94,-8.67,-35.73,297.558,3.22
110,Maharajganj,IN,12,1522693977,43,26.11,84.5,298.108,1.92
111,Borisovka,RU,90,1522692000,100,50.61,36.01,276.15,2.0
112,Bergem,LU,75,1522692660,50,49.53,6.04,285.15,4.6
113,San Gabriel,US,75,1522692060,59,34.1,-118.11,294.15,1.32
114,Sao Jose,AO,48,1522693980,95,-12.77,15.77,290.808,0.12
115,China,MX,0,1522693972,43,25.71,-99.24,305.108,9.62
116,Mihaesti,RO,0,1522693972,58,45.03,24.25,278.508,3.67
117,Navoi,IT,0,1522691700,91,46.17,11.83,288.15,4.6
118,Mongui,CO,40,1522692000,70,11.23,-72.82,302.15,6.2
119,Maguinao,PH,75,1522688400,78,15.02,120.93,300.15,2.1
120,Horizontina,BR,36,1522693974,83,-27.63,-54.31,297.758,2.27
121,Hollywood,US,90,1522693320,80,44.91,-93.97,272.15,3.6
122,Ljubuski,BA,20,1522692000,62,43.2,17.55,285.15,1.5
123,Reshetnikovo,RU,92,1522693975,96,56.45,36.57,275.308,8.17
124,Neiva,CO,90,1522692000,83,2.93,-75.29,299.15,2.6
125,San Giljan,MT,0,1522691100,76,35.92,14.49,286.15,2.1
126,Neuville-en-Ferrain,FR,90,1522693200,81,50.75,3.16,285.15,5.7
127,Villeurbanne,FR,0,1522692000,41,45.77,4.89,287.15,8.2
128,Litein,KE,36,1522693977,89,-0.58,35.18,286.508,2.97
129,Ripiceni,MD,0,1522692000,67,47.95,27.14,278.15,4.1
130,Cumana,VE,12,1522693986,70,10.46,-64.17,300.758,1.07
131,Talibon,PH,40,1522688400,78,10.15,124.33,299.15,2.1
132,Le Passage,FR,0,1522692000,53,45.53,5.51,287.15,6.2
133,Nor Armavir,TR,0,1522692000,38,40.09,43.99,288.15,0.5
134,Albany,US,75,1522691640,48,42.65,-73.75,279.15,2.6
135,Diksmuide,BE,75,1522693200,81,51.03,2.86,284.15,6.2
136,Bacsay,PH,75,1522688400,78,15.65,120.33,299.15,2.1
137,Uruapan,MX,20,1522691040,44,19.42,-102.06,297.15,5.1
138,Doschatoye,RU,76,1522693991,85,55.38,42.11,275.058,7.92
139,Rancho Grande,BR,75,1522692000,78,-23.51,-46.36,303.15,3.1
140,Perth,GB,75,1522691400,93,56.4,-3.43,275.15,5.7
141,Bohmte,DE,0,1522693200,54,52.37,8.31,285.15,3.1
142,Krasna,PL,0,1522692000,64,49.78,21.86,277.15,3.6
143,Paulesti,RO,0,1522692000,46,45.0,25.98,284.15,2.1
144,Rajapur,IN,0,1522693994,50,25.39,81.15,297.658,3.32
145,Borzna,UA,48,1522693986,90,51.25,32.43,274.558,5.02
146,Nova Odesa,UA,20,1522693987,77,47.3,31.79,278.758,5.82
147,Tangi,PK,40,1522692000,50,34.3,71.65,297.15,3.1
148,Simbahan,PH,0,1522693996,99,6.3,120.58,301.258,3.52
149,Vichy,FR,0,1522692000,47,46.12,3.42,287.15,8.2
150,Frolovo,RU,76,1522693989,83,49.76,43.65,280.008,8.42
151,Pansoy,PH,100,1522693990,100,13.18,122.6,298.108,3.32
152,Vienne,FR,0,1522692000,41,45.53,4.87,287.15,8.2
153,Vasilati,RO,0,1522692000,34,44.29,26.45,284.15,1.5
154,Nakhabino,RU,75,1522692000,86,55.84,37.18,276.15,6.0
155,Crystal,US,90,1522693320,86,45.04,-93.36,274.15,5.1
156,Sovetsk,RU,68,1522694001,86,55.08,21.89,274.958,7.27
157,Becov,CZ,0,1522692000,45,50.45,13.72,282.15,2.1
158,Geldermalsen,NL,90,1522693500,81,51.88,5.29,284.15,4.6
159,Shalushka,RU,90,1522692000,100,43.53,43.56,278.15,1.0
160,Jablonec nad Jizerou,CZ,0,1522693994,72,50.7,15.43,276.858,1.57
161,Wolfurt,AT,76,1522693200,87,47.47,9.75,283.15,0.87
162,Dotnuva,LT,90,1522691400,74,55.37,23.89,275.15,7.7
163,Tirnavos,GR,0,1522694004,46,39.74,22.29,285.108,1.52
164,Gradinari,RO,0,1522692000,34,44.39,25.82,284.15,1.5
165,Chai Badan,TH,80,1522694005,93,15.2,101.13,295.458,1.22
166,Rumburk,CZ,0,1522693200,49,50.95,14.56,281.15,2.6
167,Latacunga,EC,75,1522692000,77,-0.93,-78.61,290.15,2.6
168,Floresta,BR,24,1522693749,87,-8.6,-38.57,301.558,1.82
169,Mayorga,PH,56,1522694008,100,10.9,125.01,295.808,1.57
170,Chavakkad,IN,40,1522692000,83,10.53,76.05,301.15,1.0
171,Namasuba,UG,48,1522694001,87,0.69,32.42,293.258,2.27
172,Yonibana,SL,20,1522694001,66,8.44,-12.25,304.408,1.87
173,Cavan,IE,92,1522694002,96,53.99,-7.36,280.458,3.22
174,Monjas,GT,20,1522691400,24,14.5,-89.87,306.15,1.0
175,Agpangi,PH,40,1522688400,78,10.58,123.42,299.15,2.1
176,Apsheronsk,RU,92,1522694003,94,44.46,39.74,281.008,3.57
177,Korschenbroich,DE,75,1522693500,62,51.19,6.51,286.15,6.7
178,Hanting,CN,0,1522694012,98,30.92,118.55,289.658,1.17
179,RIO AMARILLO,HN,0,1522694004,46,14.98,-89.13,301.158,1.17
180,Abrau-Dyurso,RU,40,1522692000,93,44.7,37.6,282.15,5.0
181,Point Fortin,TT,40,1522692000,62,10.16,-61.68,303.15,7.2
182,Calatagan,PH,12,1522694005,100,13.88,120.65,298.608,3.02
183,Mandal,MN,0,1522694014,70,48.82,106.5,257.608,1.22
184,Salisbury,GB,75,1522693200,93,51.07,-1.8,284.15,4.1
185,Saginaw,US,1,1522693200,35,43.42,-83.95,279.15,4.6
186,Klishkivtsi,UA,0,1522692000,77,48.43,26.26,279.15,3.0
187,Norashen,AZ,0,1522694016,93,39.5,47.08,277.608,0.77
188,Islamabad,PK,75,1522692000,61,33.69,73.06,298.15,5.1
189,Ludhiana,IN,76,1522694009,93,30.91,75.85,292.808,6.17
190,Roxas,PH,0,1522694009,100,10.32,119.34,299.758,3.37
191,Schrobenhausen,DE,75,1522693200,46,48.56,11.27,285.15,2.6
192,Troina,IT,0,1522691700,51,37.79,14.6,288.15,0.42
193,Pontianak,ID,12,1522694020,97,-0.02,109.34,298.508,2.17
194,Guadalupe,MX,5,1522690800,57,25.68,-100.26,299.15,2.32
195,Ejido Hermosillo,MX,40,1522691820,19,32.51,-114.92,299.15,3.6
196,Bruchkobel,DE,75,1522693200,43,50.18,8.92,286.15,2.6
197,San Francisco,US,40,1522692000,63,37.78,-122.42,292.15,6.2
198,Herndon,US,90,1522693080,70,38.97,-77.39,283.15,2.6
199,Montataire,FR,92,1522692000,71,49.26,2.43,286.15,3.6
200,Capari,MK,40,1522688400,57,41.06,21.18,283.15,2.1
201,Bijnor,IN,12,1522694018,69,29.37,78.14,295.758,3.12
202,Vacszentlaszlo,HU,0,1522692000,57,47.57,19.54,282.15,1.0
203,Guindapunan,PH,88,1522694019,100,11.17,125.0,297.058,1.52
204,Queen Victoria,MU,40,1522692000,83,-20.22,57.71,300.15,1.5
205,Vidnoye,RU,90,1522692000,97,55.56,37.71,276.15,4.0
206,Mohan,IN,0,1522690200,54,26.78,80.67,299.15,2.77
207,Amagasaki,JP,0,1522692000,100,34.73,135.41,286.15,2.6
208,Manavadar,IN,0,1522694030,70,21.5,70.14,295.608,2.37
209,Moga,IN,80,1522694030,72,30.82,75.17,296.158,7.07
210,Jamu Mare,RO,0,1522692000,65,45.26,21.42,282.15,1.5
211,Guebwiller,FR,0,1522692000,62,47.91,7.21,286.15,4.6
212,Bogacs,HU,0,1522694023,66,47.9,20.53,279.858,2.22
213,Lifford,IE,90,1522693200,93,54.83,-7.48,277.15,8.2
214,Orchard Homes,US,90,1522693080,50,46.86,-114.05,273.15,2.1
215,Sudzha,RU,80,1522694024,94,51.19,35.27,274.508,3.52
216,Nau,TJ,75,1522692000,76,40.15,69.37,286.15,0.87
217,Gleisdorf,AT,0,1522691400,60,47.11,15.71,286.15,2.1
218,Pembroke,CA,20,1522692000,32,45.82,-77.11,276.15,4.1
219,Oroville,US,1,1522691880,55,39.51,-121.56,292.15,2.6
220,Huaicheng,CN,92,1522694027,91,23.91,112.19,293.408,1.02
221,Colombia,CO,64,1522694037,95,3.38,-74.8,295.758,1.22
222,Saanen,CH,20,1522691400,26,46.49,7.26,288.15,4.1
223,Kambileyevskoye,RU,24,1522694038,96,43.07,44.75,280.058,1.27
224,Ebolowa,CM,68,1522694030,96,2.92,11.15,295.058,0.97
225,Bodden Town,KY,40,1522692000,78,19.28,-81.25,300.15,5.7
226,Yeadon,GB,75,1522693200,100,53.86,-1.69,283.15,2.6
227,Artyom,RU,75,1522692000,100,43.36,132.19,275.15,2.12
228,Balogo,PH,68,1522694032,100,12.98,124.02,299.208,2.72
229,Athis-Mons,FR,92,1522692000,71,48.71,2.39,286.15,2.1
230,Beckum,DE,90,1522693200,46,51.76,8.04,285.15,6.2
231,Kastrakion,GR,20,1522691400,76,39.72,21.62,283.15,0.57
232,Ubata,BR,56,1522694034,68,-14.21,-39.52,301.208,2.62
233,Ilaskhan-Yurt,RU,8,1522694034,88,43.28,46.1,280.408,1.22
234,Abramut,RO,0,1522692000,80,47.32,22.25,282.15,3.1
235,Hasanpur,IN,20,1522694043,56,28.72,78.28,298.458,4.02
236,Vicam,MX,5,1522691520,15,27.64,-110.3,303.15,4.6
237,Quatro Barras,BR,75,1522692000,61,-25.37,-49.07,299.15,6.7
238,Aspen Hill,US,90,1522693080,70,39.08,-77.07,282.15,2.6
239,Saint-Pol-sur-Mer,FR,75,1522693200,81,51.03,2.34,284.15,6.2
240,Utran,IN,0,1522694038,92,21.23,72.87,301.858,5.92
241,Mill Creek,US,90,1522692840,69,40.44,-77.93,276.15,1.5
242,Mount Pleasant,US,90,1522692180,87,33.16,-94.97,292.15,1.77
243,Cucuteni,RO,0,1522692000,67,47.78,27.12,278.15,4.1
244,Klyuchevskiy,RU,0,1522694041,33,53.53,119.45,264.508,3.32
245,Emod,HU,0,1522694041,73,47.93,20.82,280.058,3.77
246,Abiramam,IN,40,1522692000,66,9.44,78.44,303.15,1.5
247,Yaguaron,PY,40,1522692000,51,-25.6,-57.3,302.15,2.6
248,Nasunogan,PH,56,1522694042,100,11.07,124.57,295.808,1.57
249,Yanaul,RU,8,1522694043,89,56.27,54.93,269.358,3.67
250,Madrid,ES,0,1522692000,44,40.42,-3.7,292.15,7.2
251,Santhia,GN,0,1522694052,46,9.54,-12.74,307.458,1.77
252,New Milford,US,32,1522693200,74,40.94,-74.02,276.15,2.1
253,Kasaragod,IN,40,1522692000,78,12.5,75.0,301.15,1.5
254,Mingguang,CN,0,1522694045,92,32.78,118.01,290.158,1.92
255,Pearland,US,75,1522691700,61,29.56,-95.29,301.15,5.1
256,Phalauda,IN,12,1522694045,69,29.18,77.82,295.758,3.12
257,Fucecchio,IT,40,1522691400,59,43.73,10.81,289.15,4.1
258,San Luis Potosi,MX,20,1522690980,13,22.15,-100.98,299.15,7.7
259,Bilwang,PH,76,1522694047,100,10.88,124.47,298.608,1.62
260,Helsingborg,SE,0,1522693200,74,56.05,12.69,276.15,1.0
261,Maumere,ID,44,1522694048,100,-8.63,122.22,300.458,2.42
262,Carmaux,FR,0,1522692000,57,44.05,2.16,283.15,11.8
263,La Solana,ES,32,1522694057,54,38.94,-3.24,286.708,5.12
264,San Vicente,SV,0,1522691400,40,13.64,-88.78,306.15,3.1
265,Chodziez,PL,0,1522692000,64,52.99,16.92,276.15,0.5
266,Dortmund,DE,90,1522693200,46,51.51,7.47,285.15,6.2
267,Turzovka,SK,0,1522692000,75,49.41,18.63,281.15,0.5
268,Ballyshannon,IE,92,1522694060,100,54.5,-8.19,276.308,8.97
269,Eberndorf,AT,20,1522692000,37,46.59,14.64,286.15,2.1
270,Mesagne,IT,0,1522691700,62,40.56,17.81,287.15,2.6
271,Loans,GB,75,1522693200,100,55.55,-4.62,275.15,5.7
272,Malang,ID,32,1522693896,95,-7.98,112.63,294.208,1.12
273,Areosa,PT,90,1522692000,93,41.72,-8.86,287.15,7.7
274,Saiha,IN,44,1522694053,83,22.49,92.98,291.758,0.57
275,Meridian,US,40,1522691880,50,32.36,-88.7,297.15,5.1
276,Barra Bonita,BR,40,1522688400,78,-22.49,-48.56,300.15,3.1
277,Zlin,CZ,0,1522692000,52,49.23,17.67,282.15,2.1
278,Pandaan,ID,32,1522694063,95,-7.65,112.69,294.208,1.12
279,Claver,PH,80,1522694055,100,9.57,125.73,298.808,2.32
280,Sibaguan,PH,32,1522694064,95,11.07,122.53,294.558,2.57
281,Nagbalaye,PH,0,1522694056,95,9.25,122.88,298.258,1.82
282,Jesenice,SI,0,1522692000,40,46.43,14.06,286.15,2.6
283,Mombasa,KE,20,1522692000,83,-4.05,39.67,301.15,2.1
284,Barhiya,IN,0,1522694058,49,25.29,86.02,296.608,3.02
285,Cerknica,SI,0,1522692000,40,45.8,14.36,285.15,2.6
286,Mani,GR,8,1522694067,57,41.41,26.4,284.858,2.02
287,Challans,FR,80,1522692000,93,46.85,-1.88,285.15,3.1
288,Oktyabrskoye,RU,80,1522694060,84,56.73,85.44,269.958,3.62
289,Lucca,IT,20,1522691400,76,43.84,10.5,289.15,4.6
290,Palmares,BR,80,1522694060,93,-8.68,-35.59,298.758,3.52
291,Tassin-la-Demi-Lune,FR,0,1522692000,41,45.76,4.77,287.15,8.2
292,Columbia,US,1,1522694100,28,34.0,-81.03,301.15,3.6
293,Aiken,US,1,1522691760,34,33.56,-81.72,301.15,2.1
294,Kantang,TH,44,1522694071,100,7.42,99.52,298.258,1.82
295,Rizia,GR,8,1522694072,57,41.62,26.43,284.858,2.02
296,Lianga,PH,12,1522694064,97,8.63,126.09,295.158,1.22
297,Farum,DK,0,1522693200,74,55.81,12.37,276.15,1.0
298,Nikisiani,GR,20,1522691400,76,40.95,24.14,285.15,2.6
299,Armenia,CO,40,1522692000,88,4.54,-75.67,297.15,2.1
300,Worth,US,1,1522692900,38,41.69,-87.8,279.15,4.6
301,Botolan,PH,75,1522692000,88,15.29,120.02,298.15,1.0
302,Horadiz,AZ,0,1522694066,90,39.45,47.33,280.208,1.12
303,Vaini,IN,0,1522694067,78,15.34,74.49,295.358,1.77
304,Fuling,CN,0,1522694067,83,29.71,107.39,288.258,1.02
305,Eilenburg,DE,0,1522693200,73,51.46,12.63,280.15,3.6
306,Sam Phran,TH,75,1522690200,100,13.72,100.22,297.15,1.5
307,Portel,PT,20,1522692000,67,38.31,-7.71,289.15,5.1
308,Alwar,IN,32,1522694077,52,27.56,76.61,297.358,1.77
309,Fairfield,US,1,1522691880,55,38.25,-122.04,293.15,1.97
310,Lisa,RO,0,1522692000,42,44.35,24.53,282.15,1.5
311,Plymouth,GB,75,1522693200,93,50.37,-4.14,284.15,6.7
312,Ranfurly,CA,0,1522694072,84,53.41,-111.68,261.658,1.67
313,Tochio,JP,0,1522694072,71,37.47,139.0,273.158,0.77
314,Radnevo,BG,0,1522694072,43,42.29,25.93,285.008,3.77
315,Traiguen,CL,0,1522694082,66,-38.25,-72.68,296.758,1.62
316,Mulhouse,FR,0,1522692000,62,47.75,7.34,286.15,4.6
317,Ozu,JP,12,1522694074,90,33.51,132.54,283.458,0.72
318,Dzepciste,MK,0,1522692000,61,42.03,21.0,285.15,1.5
319,Tamuin,MX,0,1522694074,56,21.98,-98.75,302.508,1.22
320,Shido,JP,0,1522694084,86,34.32,134.17,283.758,0.87
321,San Bonifacio,IT,40,1522691700,38,45.4,11.27,289.15,1.5
322,Sarandi,BR,92,1522694076,93,-27.94,-52.92,293.708,4.87
323,Neral,IN,0,1522692000,65,19.02,73.32,301.15,2.1
324,Topoloveni,RO,0,1522694077,45,44.81,25.09,279.208,3.32
325,Caravaggio,IT,40,1522691700,62,45.5,9.64,288.15,4.1
326,Baie-Mahault,GP,75,1522692000,78,16.27,-61.59,300.15,1.5
327,Le Pre-Saint-Gervais,FR,92,1522692000,76,48.89,2.4,286.15,3.1
328,Schopfheim,DE,0,1522692000,76,47.65,7.83,286.15,4.6
329,Merk,HU,44,1522692000,65,47.79,22.38,282.15,3.6
330,Blajel,RO,80,1522692000,80,46.22,24.32,279.15,0.5
331,Sonkovo,RU,92,1522694080,95,57.78,37.16,275.058,8.77
332,Pontedera,IT,20,1522691400,76,43.66,10.64,289.15,4.6
333,Pidsandawan,PH,8,1522694081,88,6.93,124.53,295.258,0.92
334,Moita,PT,75,1522692000,87,38.65,-8.99,289.15,6.7
335,Gulmarg,IN,80,1522694091,86,34.05,74.39,280.458,1.07
336,Chilia Veche,UA,24,1522692000,81,45.41,29.29,280.15,4.6
337,Taminango,CO,76,1522694083,95,1.57,-77.28,294.108,0.62
338,Crasna,RO,0,1522694084,61,45.18,23.52,278.658,3.22
339,Bazpur,IN,8,1522694093,78,29.15,79.12,289.508,1.22
340,Sokna,NO,0,1522694085,78,60.24,9.92,269.508,0.97
341,Los Amates,GT,0,1522694085,46,15.26,-89.1,300.708,1.17
342,Sehithwa,BW,0,1522694086,45,-20.47,22.7,297.058,5.22
343,Lasam,PH,92,1522694086,92,18.06,121.6,295.108,1.07
344,Stara Synyava,UA,80,1522694087,91,49.6,27.62,275.608,7.92
345,Gohand,IN,0,1522694087,40,25.7,79.54,299.308,4.12
346,Stiubieni,RO,0,1522692000,67,47.97,26.78,279.15,4.1
347,Svirstroy,RU,92,1522694088,97,60.8,33.72,278.358,6.92
348,Rumenka,RS,0,1522692000,57,45.29,19.74,284.15,2.6
349,Gebre Guracha,ET,92,1522694090,79,9.8,38.4,287.958,0.67
350,Negara,ID,24,1522694090,98,-8.36,114.62,299.208,0.97
351,Airdrie,CA,90,1522692000,48,51.29,-114.01,266.15,3.6
352,Bocholt,DE,92,1522693500,71,51.84,6.61,285.15,4.1
353,Jubbal,IN,68,1522694091,83,31.11,77.67,286.408,0.77
354,Yaqui,MX,5,1522691520,15,27.37,-110.17,303.15,4.6
355,Gempol,ID,36,1522694092,100,-6.7,108.42,300.158,2.77
356,Sarwar,IN,12,1522694093,21,26.06,75.01,298.058,3.87
357,Cuxhaven,DE,90,1522693200,75,53.87,8.7,279.15,4.6
358,Remetea,RO,0,1522692000,80,46.74,22.35,278.15,3.1
359,Bethausen,RO,0,1522692000,66,45.84,21.96,282.15,1.17
360,Natchitoches,US,75,1522692900,69,31.76,-93.09,299.15,3.6
361,Segou,SN,0,1522692000,19,12.41,-12.29,313.15,1.97
362,Nytva,RU,0,1522692000,79,57.94,55.33,273.15,3.0
363,Pesqueria,MX,5,1522690800,57,25.78,-100.05,299.15,2.32
364,Matraderecske,HU,0,1522694097,74,47.95,20.08,279.058,1.87
365,Seesen,DE,0,1522693200,65,51.89,10.17,281.15,4.1
366,Corrente,BR,24,1522694098,49,-17.45,-44.68,303.808,0.82
367,Wigan,GB,75,1522693200,93,53.55,-2.63,283.15,8.2
368,Lala,PH,0,1522694099,87,7.97,123.75,295.058,1.87
369,Shaami-Yurt,RU,24,1522694100,87,43.23,45.39,280.458,1.27
370,Amtala,BD,32,1522694101,74,24.85,90.79,296.958,3.12
371,Okegawa,JP,90,1522692000,82,36.0,139.54,288.15,3.1
372,Ixtahuacan,GT,8,1522694102,37,15.42,-91.77,298.008,1.22
373,Haj ve Slezsku,CZ,0,1522692000,52,49.9,18.1,281.15,2.1
374,Curuguaty,PY,76,1522694111,72,-24.47,-55.69,299.508,1.27
375,Vorgashor,RU,56,1522694103,66,67.58,63.95,253.008,3.77
376,Lo Arado,MX,20,1522691160,66,19.62,-104.58,302.15,4.1
377,Vereshchagino,RU,76,1522694104,87,58.07,54.67,269.008,3.92
378,Ciocanesti,RO,0,1522692000,46,44.6,25.85,284.15,2.1
